Philip lifts Elizabeth	Philip lifts Elizabeth
Pedro dislikes Tom	Pedro dislikes Tom
Matilda wakes Rob	Matilda wakes Rob
Philip greets Kenny	Philip greets Kenny
Lily hates Rob	Lily hates Rob
Philip greets Philippa	Philip greets Philippa
Will annoys Tom	Will annoys Tom
Lily meets Caroline	Lily meets Caroline
Lily kills Matilda	Lily kills Matilda
Jane likes Caroline	Jane likes Caroline
John meets Caroline	John meets Caroline
John kills Philip	John kills Philip
Bill awakes Elizabeth	Bill awakes Elizabeth
Simon dates Rick	Simon dates Rick
Will teaches Charles	Will teaches Charles
David lifts Simon	David lifts Simon
Bertram lifts Elizabeth	Bertram lifts Elizabeth
Lily dates Philippa	Lily dates Philippa
Bill hurts Rick	Bill hurts Rick
Melanie dislikes Philippa	Melanie dislikes Philippa
Lily hates Philip	Lily hates Philip
Lily scars Charles	Lily scars Charles
Melanie heals Rob	Melanie heals Rob
Lily annoys Bertram	Lily annoys Bertram
Matilda scares Alistair	Matilda scares Alistair
Charles greets Alistair	Charles greets Alistair
Kenny defends Simon	Kenny defends Simon
Bill defends Melanie	Bill defends Melanie
Jane hurts Elizabeth	Jane hurts Elizabeth
Pedro knows Abby	Pedro knows Abby
John lifts Bill	John lifts Bill
Melanie loves Caroline	Melanie loves Caroline
Tom awakes Elizabeth	Tom awakes Elizabeth
Sam throws Alistair	Sam throws Alistair
David throws Simon	David throws Simon
Philip hunts Rob	Philip hunts Rob
Philippa likes Tom	Philippa likes Tom
Bertram teaches Rick	Bertram teaches Rick
Bill carries Elizabeth	Bill carries Elizabeth
Rick dislikes Tom	Rick dislikes Tom
Pedro awakes Melanie	Pedro awakes Melanie
Abby carries Elizabeth	Abby carries Elizabeth
Pedro hunts Philip	Pedro hunts Philip
Will throws Rob	Will throws Rob
Pedro drags Tom	Pedro drags Tom
Matilda dates Philippa	Matilda dates Philippa
Will scares Abby	Will scares Abby
Melanie wakes Tom	Melanie wakes Tom
Philippa heals Rick	Philippa heals Rick
Kenny drowns Rob	Kenny drowns Rob
Bertram lifts Tom	Bertram lifts Tom
Abby throws Rob	Abby throws Rob
Lily teaches Caroline	Lily teaches Caroline
John carries Tom	John carries Tom
Alistair drags Simon	Alistair drags Simon
Abby annoys Tom	Abby annoys Tom
Jane drags Charles	Jane drags Charles
Simon dates Sam	Simon dates Sam
Jane hunts Bertram	Jane hunts Bertram
Simon scars James	Simon scars James
Philip annoys Rob	Philip annoys Rob
Mary likes Elizabeth	Mary likes Elizabeth
Sam greets Melanie	Sam greets Melanie
Bertram teaches Tom	Bertram teaches Tom
Abby lifts Tom	Abby lifts Tom
Will startles Tom	Will startles Tom
Jane loves Alistair	Jane loves Alistair
Matilda likes Elizabeth	Matilda likes Elizabeth
David hurts Simon	David hurts Simon
Jane scars Rob	Jane scars Rob
Simon scars Rob	Simon scars Rob
Jane drags Jane	Jane drags Jane
Will hates John	Will hates John
James carries Charles	James carries Charles
David knows Matilda	David knows Matilda
Elizabeth hurts Rick	Elizabeth hurts Rick
Philippa likes Rick	Philippa likes Rick
Lily awakes Philippa	Lily awakes Philippa
Jane teaches John	Jane teaches John
Kenny startles Caroline	Kenny startles Caroline
Jane loves Rob	Jane loves Rob
Rob hurts Abby	Rob hurts Abby
Will scars Tom	Will scars Tom
David likes Bill	David likes Bill
David hates John	David hates John
Bill drowns Rob	Bill drowns Rob
Simon heals James	Simon heals James
David teaches John	David teaches John
Jane dates Charles	Jane dates Charles
Lily scars Elizabeth	Lily scars Elizabeth
Bertram annoys Elizabeth	Bertram annoys Elizabeth
Simon lifts Rick	Simon lifts Rick
Charles heals Alistair	Charles heals Alistair
Rick heals Matilda	Rick heals Matilda
Matilda scars Elizabeth	Matilda scars Elizabeth
Sam defends Melanie	Sam defends Melanie
David kills Simon	David kills Simon
